Customer_ID,Full_Name,Email,Signup_Channel
C0001,Jared Castaneda,j.castaneda81@email.com,In store
C0002,Christopher Sandoval,c.sandoval88@email.com,In store
C0003,Bradley Anderson,b.anderson59@email.com,App
C0004,Jason Strickland,j.strickland81@email.com,Online
C0005,Michael Taylor,m.taylor42@email.com,Online
C0006,Melissa Wilson,m.wilson38@email.com,Online
C0007,Adrian Brennan,a.brennan76@email.com,App
C0008,Steven Vasquez,s.vasquez12@email.com,Online
C0009,Jose Johnson,j.johnson49@email.com,App
C0010,Stefanie Perkins,s.perkins85@email.com,In store
C0011,Cole Beltran,c.beltran14@email.com,App
C0012,Nicole Reyes,n.reyes13@email.com,App
C0013,Ian Salinas,i.salinas97@email.com,In store
C0014,Larry Atkinson,l.atkinson70@email.com,App
C0015,Deborah Jefferson,d.jefferson66@email.com,App
C0016,Denise Graham,d.graham51@email.com,App
C0017,Tommy Martinez,t.martinez65@email.com,App
C0018,Megan Pope,m.pope47@email.com,App
C0019,Jason Mora,j.mora16@email.com,Online
C0020,Zachary Henry,z.henry86@email.com,In store
C0021,Samantha Hubbard,s.hubbard66@email.com,In store
C0022,Justin Garcia,j.garcia46@email.com,Online
C0023,Michael Robinson,m.robinson19@email.com,App
C0024,Kimberly Rivera,k.rivera66@email.com,Online
C0025,Jennifer Wiley,j.wiley68@email.com,App
C0026,Sandy Holland,s.holland66@email.com,In store
C0027,Brian Horn,b.horn76@email.com,Online
C0028,Tina Vaughn,t.vaughn28@email.com,In store
C0029,Gary Mcdonald,g.mcdonald17@email.com,Online
C0030,Kathryn Whitney,k.whitney28@email.com,In store
C0031,Julie Watson,j.watson78@email.com,Online
C0032,Elizabeth Newman,e.newman64@email.com,Online
C0033,Ethan Foster,e.foster36@email.com,App
C0034,Blake Alvarado,b.alvarado51@email.com,Online
C0035,Matthew Williams,m.williams97@email.com,App
C0036,Michael Allen,m.allen31@email.com,App
C0037,Sharon Mccoy,s.mccoy50@email.com,App
C0038,Steven Richardson,s.richardson42@email.com,In store
C0039,William Miller,w.miller91@email.com,Online
C0040,Emily Robles,e.robles88@email.com,Online
C0041,Shawn Vargas,s.vargas72@email.com,Online
C0042,Martha Wallace,m.wallace27@email.com,In store
C0043,Marco Espinoza,m.espinoza92@email.com,Online
C0044,Melissa Simmons,m.simmons98@email.com,Online
C0045,Anthony Murray,a.murray48@email.com,In store
C0046,Rachael Alvarado,r.alvarado25@email.com,App
C0047,Joseph Murillo,j.murillo58@email.com,App
C0048,Kathleen Terry,k.terry51@email.com,App
C0049,Nicholas Flores,n.flores38@email.com,Online
C0050,Teresa Gill,t.gill23@email.com,App
C0051,Danny Sloan,d.sloan27@email.com,In store
C0052,Todd Ochoa,t.ochoa15@email.com,In store
C0053,Angela Rodriguez,a.rodriguez39@email.com,App
